eventid,date,extended,provstate,city,latitude,longitude,specificity,vicinity,summary,crit1,crit2,crit3,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,corp1,target1,natlty1_txt,gname,motive,guncertain1,nperps,nperpcap,claimed,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nkillus,nkillter,nwound,nwoundus,nwoundte,propextent_txt,addnotes,scite1,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related
197001130001,1970-01-13,0,Washington,Seattle,47.610786,-122.331306,1.0,0,"1/13/1970: Unknown perpetrators firebombed Fuson's Department Store in Seattle, Washington, United States. There were no casualties but the store sustained an estimated $17,000 in damages. Less than a week earlier, the store owner shot and killed an African American male attempting to rob the store.",1,1,1,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Fuson's Department Store,"Fuson's Department Store, Seattle Washington",United States,Black Nationalists,Retaliation for the store owner who shot and killed an African American attempting to commit a robbery at his store.,0.0,-99,-99,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,Firebomb,0,0,0,0,0,0,Minor (likely < $1 million),"The store was a White owned business operating in a predominantly African American neighborhood.  Before the firebombing, the Fuson's received many threats against their store.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001140001,1970-01-14,0,Illinois,Champaign,40.116748,-88.23927,1.0,0,"1/14/1970: Suspected Black militants threw two firebombs into the Champaign Police Department in Champaign, Illinois, United States. The building was damaged and one police officer was severely burned.",1,1,1,1,0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Police Department,Champaign Police Department,United States,Black Nationalists,Unspecified,0.0,-99,-99,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,Firebomb thrown through window,0,0,0,1,1,0,Minor (likely < $1 million),None,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001190002,1970-01-19,0,Washington,Seattle,47.610786,-122.331306,1.0,0,"1/17/1970: Three African Americans were suspected of detonating a bomb on the Seattle University campus in Seattle, Washington, United States. There were no casualties but the Liberal Arts and Garrand buildings sustained $2,200 in damages.",1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,Seattle University,"Liberal Arts and Garrand buildings, Seattle University",United States,Black Nationalists,The incident took place during disturbances between the Black Student Union and the university.,1.0,3,-99,0.0,Explosives,Unknown Explosive Type,None,0,0,0,0,0,0,Minor (likely < $1 million),Witnesses observed three African American males running from the scene.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001190003,1970-01-19,0,Washington,Seattle,47.610786,-122.331306,1.0,0,"1/17/1970: Silas and Judith Bissell placed an explosive device in the vicinity of the Air Force R.O.T.C. at the University of Washington campus in Seattle, Washington, United States. The device was discovered and subsequently disarmed.",1,1,1,0,0,Bombing/Explosion,Military,Military Recruiting Station/Academy,R.O.T.C.,Air Force R.O.T.C. at the University of Washington,United States,Student Radicals,The incident took place during heightened antiwar sentiments in Seattle Washington.,0.0,2,2,0.0,Explosives,Unknown Explosive Type,None,0,0,0,0,0,0,Unspecified,Judith and Silas Bissell were both members of Students for a Democratic Society.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001190004,1970-01-19,0,New Jersey,Jersey City,40.717892,-74.067467,1.0,0,"1/19/1970: Unknown perpetrators ignited a fire at the Black Panther Party headquarters in Jersey City, New Jersey, United States. Two hours later shots were fired at the building. There were no casualties but the building sustained minor damages.",1,1,1,1,0,Facility/Infrastructure Attack,Violent Political Party,Party Office/Facility,Black Panther Party,Headquarters,United States,White supremacists/nationalists,Intimidate the Black Panther Party.,0.0,-99,-99,0.0,Incendiary,Arson/Fire,Gasoline was placed on the steps of the building and set on fire.  Between 10-30 shots were fired.,0,0,0,0,0,0,Minor (likely < $1 million),The building might have been shot at a second time after the Panthers evacuated the building.  The arson took place just before midnight on January 19th and the shooting took place after 1 A.M. on January 20th.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001220002,1970-01-22,0,Nebraska,South Sioux City,42.47031,-96.413949,1.0,0,"1/22/1970: Unknown perpetrators detonated an explosive device near a private home in South Sioux City, Nebraska, United States. There were no casualties, however, a sizable hole was left in the house and windows were broken. This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,1,0,Bombing/Explosion,Private Citizens & Property,House/Apartment/Residence,Private residence,Unspecified,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0.0,-99,-99,0.0,Explosives,Dynamite/TNT,Dynamite thrown at foundation of home,0,0,0,0,0,0,Minor (likely < $1 million),"This attack might be linked with other episodes of strike violence in South City Nebraska (197001300001, 197001300002, 197002230001, 197002230002, 197002230003, 197002230004)","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001250001,1970-01-25,0,Mississippi,West Point,33.60651,-88.650419,1.0,0,"1/25/1970: Unknown perpetrators burnt down a building that was a meeting spot for African Americans in West Point, Mississippi, United States. There were no injuries or fatalities. The attack occurred amidst widespread disapproval of school desegregation by the White population of West Point.",1,1,1,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Race/Ethnicity Identified,Building,Building used as a meeting place for African Americans.,United States,White supremacists/nationalists,The motive of the attack was to prevent the African American community of West Point Mississippi from organizing.,0.0,-99,-99,0.0,Incendiary,Arson/Fire,None,0,0,0,0,0,0,Minor (likely < $1 million),"Police, at the time suspected, that this attack was linked to dissatisfaction over integration of the schools in West Point, Mississippi but could not conclusively rule out that this incident was criminally motivated.","""Miss. City Is Desegregation Trouble Spot,"" Chicago Daily Defender, January 29, 1970.",Hewitt Project,-9,-9,0,-9,None
197001250002,1970-01-25,0,New York,New York City,40.697132,-73.931351,1.0,0,"1/25/1970: Responding to what authorities believe was a fake report to lure police to Manhattan, New York, United States, Patrolmen William Kivlehan and Ralph Bax were shot at from a rooftop by unknown perpetrators after they got out of their car. Officer Kivlehan was shot five times and Officer Bax was shot three times. Both officers survived.",1,1,1,1,0,Armed Assault,Police,Police Security Forces/Officers,New York Police Department,New York Police Officers responding to a call in Harlem,United States,Black Nationalists,To kill police,0.0,-99,-99,0.0,Firearms,Unknown Gun Type,Nine thirty-caliber cartridges from a carbine and eleven nine-millimeter shells,0,0,0,2,2,0,Minor (likely < $1 million),Police do not believe that this attack was related to the shooting of a police officer in Queens hours later (197001260003).,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001260001,1970-01-26,0,Mississippi,West Point,33.60651,-88.650419,1.0,0,"1/26/1970: Unknown African American assailants, unsatisfied with the courts decision on desegregation, threw a stick of dynamite at the Clay County Courthouse in West Point, Mississippi, United States. There were no injuries or fatalities but the windows of the building were shattered.",1,1,1,1,0,Bombing/Explosion,Government (General),Judge/Attorney/Court,Courthouse,Clay County Courthouse,United States,Black Nationalists,African American opposition to the school integration plan instituted by the federal government.  The government plan closed two Black schools.,0.0,-99,-99,0.0,Explosives,Dynamite/TNT,"Several sticks of dynamite were thrown, from a car, at the courthouse.",0,0,0,0,0,0,Minor (likely < $1 million),"Police, at the time, suspected that this attack was linked to dissatisfaction over integration of the schools.  John Thomas, John Buffington, and three other Blacks were charged with conspiracy but no individual was indicted.","""Miss. City Is Desegregation Trouble Spot,"" Chicago Daily Defender, January 29, 1970.",Hewitt Project,-9,-9,0,-9,None
197001260003,1970-01-26,0,New York,New York City,40.697132,-73.931351,1.0,0,"1/26/1970: Police officer Joseph Blik was on foot patrol in Queens, New York, United States when two people in a car stopped to ask him for directions. The perpetrators in the car immediately fired two shots at Officer Blik and then drove away. Officer Blik was not hit.",1,1,1,1,0,Armed Assault,Police,Police Patrol (including vehicles and convoys),New York Police Department,New York Police Officer on patrol in Forest Hills,United States,Black Nationalists,To kill police,0.0,-99,-99,0.0,Firearms,Unknown Gun Type,None,0,0,0,0,0,0,Unspecified,Police do not believe that this attack was related to the shooting of two police officers in Manhattan hours earlier (197001250002).,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001270002,1970-01-27,0,Ohio,Norwalk,41.241996,-82.615241,1.0,0,"1/27/1970: Unknown perpetrators broke into the Selective Service Offices located at the Citizens Bank Building in Norwalk, Ohio, United States. The perpetrators took out the draft records and set them on fire. The attack caused an estimated $8,800 in damages.",1,1,1,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service office in Norwalk Ohio,United States,Left-Wing Militants,Protest and sabotage the draft,0.0,-99,-99,0.0,Incendiary,Arson/Fire,None,0,0,0,0,0,0,Minor (likely < $1 million),The perpetrators broke through the door of the building early in the morning.,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001280002,1970-01-28,0,Washington,Seattle,47.610786,-122.331306,1.0,0,"1/28/1970: Unknown perpetrators detonated an explosive device at Temple De Hirsch in Seattle, Washington, United States. There were no casualties but the building sustained $1,000 in damages. During this time period, there were numerous bombings in the Seattle area.",1,1,1,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Jewish Synagogue,Temple De Hirsch,United States,White supremacists/nationalists,Unspecified,0.0,-99,-99,0.0,Explosives,Unknown Explosive Type,None,0,0,0,0,0,0,Minor (likely < $1 million),None,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001300001,1970-01-30,0,Nebraska,South Sioux City,42.479999,-96.413046,1.0,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at a building in South Sioux City, Nebraska, United States. There were no casualties but the blast damaged the foundation of the building. This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,1,0,Bombing/Explosion,Unknown,Unspecified,Unknown building,Unspecified,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0.0,-99,-99,0.0,Explosives,Dynamite/TNT,Dynamite,0,0,0,0,0,0,Minor (likely < $1 million),"This incident might be part of a multiple attack with 197001300002.  Also, this attack might be linked with other episodes of strike violence in South City Nebraska (197002230001, 197002230002, 197002230003, 197002230004, 197001220002).","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,"197001300001, 197001300002"
197001300002,1970-01-30,0,Nebraska,South Sioux City,42.46634,-96.41405,1.0,0,"1/30/1970: In a series of two incidents that were possibly related, unknown perpetrators detonated an explosive device at the A & B Boat Shop in South Sioux City, Nebraska, United States. There were no casualties but the blast caused $2,500 in damages. This attack was one of many instances of violence in South Sioux City during the Iowa Beef Packers strike.",1,1,1,1,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,Unspecified,A & B Boat Shop,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike in South Sioux City.,0.0,-99,-99,0.0,Explosives,Dynamite/TNT,Dynamite,0,0,0,0,0,0,Minor (likely < $1 million),"This incident might be part of a multiple attack with 197001300001.  Also, this attack might be linked with other episodes of strike violence in South City Nebraska (197002230001, 197002230002, 197002230003, and 197002230004).","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,"197001300001, 197001300002"
197001300003,1970-01-30,0,Florida,Coral Gables,25.720851,-80.277857,1.0,0,"1/20/1970: Unknown perpetrators firebombed the premises of the Army R.O.T.C. at the University of Miami in Coral Gables, Florida, United States. There were no casualties but an Army personal carrier was damaged. Two firebombs did not explode.",1,1,1,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Army R.O.T.C.,"Army R.O.T.C., University of Miami",United States,Student Radicals,To protest the R.O.T.C. program and the War in Vietnam,0.0,-99,-99,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,"Two firebombs ignited, at least one of them was thrown.  One of the firebombs was a rag wick set on fire stuffed in a gas tank of a parked car that burnt out.  Two other firebombs did not ignited.",0,0,0,0,0,0,Minor (likely < $1 million),None,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197001310002,1970-01-31,0,Colorado,Denver,39.758968,-104.876305,1.0,0,"1/31/1970: Unknown perpetrators bombed the Police Band Building in Denver, Colorado, United States. There were no casualties but a restroom was damaged.",1,1,1,1,0,Bombing/Explosion,Police,"Police Building (headquarters, station, school)",Denver Police Department,"Police Band Building, Denver Colorado",United States,Unknown,Unspecified,0.0,-99,-99,0.0,Explosives,Dynamite/TNT,Suspected use of dynamite,0,0,0,0,0,0,Minor (likely < $1 million),None,"Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197002010001,1970-02-01,0,Oregon,Portland,45.511795,-122.675629,1.0,0,"2/1/1970: An unknown perpetrator broke into the Northeast Oregon building in Portland, Oregon, United States, which housed a Selective Service office and set fire to draft records. About two hundred and fifty files were destroyed causing $4,189 in damage.",1,1,1,1,0,Facility/Infrastructure Attack,Government (General),Government Building/Facility/Office,Selective Service,Selective Service office Local Board No. 28 in Portland Oregon,United States,Left-Wing Militants,Protest and sabotage the draft,0.0,1,-99,0.0,Incendiary,Gasoline or Alcohol,Fire started with gasoline,0,0,0,0,0,0,Minor (likely < $1 million),"It is suspected that the perpetrator was attempting to look for his own draft file.  This incident did not disrupt this particular Selective Service office since there was a duplicate of all of the records on microfilm.  In a sixth month period, the Oregon Selective Service Headquarters was firebombed three other times (197005060006, 197006030001, and 197008100001).","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197002010002,1970-02-01,0,Illinois,Cairo,37.005105,-89.176269,1.0,0,"2/1/1970: Unknown perpetrators fired shots at an Illinois State Police Car that was patrolling the all-Black Pyramid Courts housing development in Cairo, Illinois, United States. Three bullets struck the police car of Officers Harold Nelson and John Abercrombie. Neither officer was injured but the windshield of vehicle car was shattered.",1,1,1,1,0,Armed Assault,Police,"Police Building (headquarters, station, school)",Illinois State Police,Illinois State Police in the Pyramid Courts housing project,United States,Black Nationalists,To protest police presence in Pyramid Courts,0.0,-99,-99,0.0,Firearms,Rifle/Shotgun (non-automatic),High-powered rifle or carbine,0,0,0,0,0,0,Minor (likely < $1 million),"This attack took place during heightened racial tensions, including a Black boycott of White-owned businesses, in Cairo Illinois.  Officer Nelson was Black and Officer Abercrombie was White.  A few days after the incident Reverend Charles Koen, a Black community leader, sent a request to the governor of Illinois that State Police patrols be removed from Pyramid Courts.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
197002020001,1970-02-02,0,New York,New York City,40.697132,-73.931351,1.0,0,"2/2/1970: An incendiary device was discovered at Mays department store in Manhattan, New York, United States. The device was dismantled before it inflicted any damage. The next day, two incendiary devices were discovered at other department stores in New York City.",1,1,1,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Mays Department Store,Mays Department Store in Manhattan,United States,Unknown,Unspecified,0.0,-99,-99,0.0,Incendiary,Gasoline or Alcohol,Incendiary device,0,0,0,0,0,0,Unspecified,None,"""Alexander's Stores Survive 2 Bombs With No Damage,"" New York Times, February 4, 1970.",Hewitt Project,-9,-9,0,-9,None
197002030001,1970-02-03,0,New York,New York City,40.697132,-73.931351,1.0,0,"2/3/1970: In a series of related attacks, an incendiary device was discovered and dismantled at Alexander's Department Store in the Bronx, New York, United States.",1,1,1,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store,Alexander's Department Store in the Bronx,United States,Unknown,Unspecified,0.0,-99,-99,0.0,Incendiary,Gasoline or Alcohol,"Incendiary device packed in a cigarette box that included batteries, chemicals, and a flash cube that was connected to a wristwatch.",0,0,0,0,0,0,Unspecified,Part of a multiple attack with 197002030002.  An incendiary device in a cigarette package was also used by MIRA in an attacl against a store in New York City one year after this incident. (197103190002)  Many different terrorist groups targeted in New York Department Stores in early 1970s.  This attack might be linked with 197002020001 as well.,"""Alexander's Stores Survive 2 Bombs With No Damage,"" New York Times, February 4, 1970.",Hewitt Project,-9,-9,0,-9,"197002030001, 197002030002"
197002030002,1970-02-03,0,New York,New York City,40.697132,-73.931351,1.0,0,"2/3/1970: In a series of related attacks, an incendiary device was ignited at Alexander's Department Store in Manhattan, New York, United States. The device was immediately doused with water and did not cause any damage.",1,1,1,0,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store,Alexander's Department Store in Manhattan,United States,Unknown,Unspecified,0.0,-99,-99,0.0,Incendiary,Gasoline or Alcohol,Incendiary device,0,0,0,0,0,0,Unspecified,"Part of a multiple attack with 197002030001.  The incendiary device was thought to be similar to the one in 197002030001, but it was destroyed before authorities could make any conclusions.  An incendiary device in a cigarette package was also used by MIRA in an attack against a store in New York City one year after this incident. (197103190002)  Many different terrorist groups targeted in New York Department Stores in early 1970s.  This attack might be linked with 197002020001.","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,"197002030001, 197002030002"
197002040001,1970-02-04,0,Ohio,Akron,41.084195,-81.514059,1.0,0,"2/4/1970: In an attack suspected of being connected with the Iowa Beef Packer's Strike, a dynamite bomb exploded near a parked car in Akron, Ohio, United States. There were no casualties and the car sustained only minor damages.",1,1,1,1,0,Bombing/Explosion,Private Citizens & Property,Vehicles/Transportation,Car,Unspecified,United States,Strikers,The attack occurred during the violent Iowa Beef Packers strike.,0.0,-99,-99,0.0,Explosives,Dynamite/TNT,Dynamite,0,0,0,0,0,0,Minor (likely < $1 million),"This attack might be linked with other episodes of violence during the Iowa Beef Packers strike (197001220002, 197001300001, and 197001300002)","Committee on Government Operations United States Senate, ""Riots, Civil, and Criminal Disorders,"" U.S. Government Printing Office, August 6, 1970.",Hewitt Project,-9,-9,0,-9,None
