eventid,date,extended,city,latitude,longitude,specificity,vicinity,crit1,crit2,crit3,success,suicide,attacktype1_txt,targtype1_txt,targsubtype1_txt,target1,natlty1_txt,gname,guncertain1,weaptype1_txt,weapsubtype1_txt,weapdetail,nkill,nkillter,nwound,propextent,addnotes,dbsource,INT_LOG,INT_IDEO,INT_MISC,INT_ANY,related,number_related
197002090003,1970-02-09,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,Business,Multinational Corporation,General Electric Headquarters,United States,Armed Revolutionary Independence Movement (MIRA),0.0,Explosives,Pipe Bomb,Pipe bomb in a paper bag,0,0,0,0.0,"Part of a multiple attack with 197002080001 and 197002080002.  MIRA claimed this attack along with 2197002060005, in the same mimeographed sheet sent to the news media.  This was one of many attacks against General Electric targets throughout the United States in a three day period. (197002070001, 197002070002, and 197002090004) These incidents are not believed to be related.",Hewitt Project,0,1,0,1,"197002080001, 197002080002, 197002090003",3
197002150001,1970-02-15,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Bank/Commerce,"Chase Manhattan Bank, East Village Branch",United States,Left-Wing Militants,0.0,Explosives,Unknown Explosive Type,None,0,0,0,3.0,This was one of many bank bombings in New York City during 1970.,Hewitt Project,-9,-9,0,-9,None,0
197002170004,1970-02-17,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,0,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,"Armory, University of Washington",United States,Student Radicals,0.0,Explosives,Unknown Explosive Type,Gasoline bomb,0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,None,0
197002200002,1970-02-20,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,Columbia University International Law Library,United States,Student Radicals,1.0,Incendiary,Molotov Cocktail/Petrol Bomb,Firebomb,0,0,0,3.0,"This attack occurred late at night on February 20.  It was suspected that this attack might have been related to 197002210004, 197002210005, and 197002210003.  However, the Weathermen only claimed credit for 197002210005 in a letter to the New York Times, and did not mention participation in any other attacks on February 21.",Hewitt Project,-9,-9,0,-9,None,0
197002200003,1970-02-20,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,"Construction site of Architecture School, University of Washington",United States,Student Radicals,0.0,Explosives,Dynamite/TNT,Two dynamite bombs,0,0,0,3.0,"There is a source claiming that one of the perpetrators of the attack, Jeff Desmond, was actually working for the Federal Bureau of Investigation (See: Dave Dellinger, ""More Power Than We Know: The People's Movement Toward Democracy"").",Hewitt Project,-9,-9,0,-9,None,0
197002210003,1970-02-21,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Facility/Infrastructure Attack,Police,"Police Building (headquarters, station, school)",Charles Street Police Station,United States,Left-Wing Militants,1.0,Incendiary,Gasoline or Alcohol,Thrown Gasoline Bomb,0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,None,0
197002210004,1970-02-21,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Army Recruiting Booth and Navy Recruiting Booth,United States,Left-Wing Militants,1.0,Incendiary,Gasoline or Alcohol,Thrown Gasoline Bomb,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,None,0
197002210005,1970-02-21,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Private Citizens & Property,Named Civilian,Judge John Murtagh and family,United States,"Weather Underground, Weathermen",0.0,Explosives,Time Fuse,Gasoline in bottles detonated by firecrackers,0,0,0,3.0,"It was suspected that this attack might have been related to 197002210003, 197002210004, and 197002200002.  However, the Weathermen only claimed credit for this attack in a letter to the New York Times, and did not mention participation in any other attacks on February 21. Written in front of the house was graffiti stating ""Free Panther 21"" and ""Vietcong Have Won."" The bombs were placed on the front doorway, next to a window, and under the Murtagh's car.  Murtagh and his family were placed in the protection of the police as a result of the attack.",Hewitt Project,0,0,0,0,None,0
197003030003,1970-03-03,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,Post Office in Seattle's University District,United States,Student Radicals,0.0,Explosives,Dynamite/TNT,Dynamite bomb,0,0,0,3.0,"Two of the perpetrators were members of Students for a Democratic Society and the other two perpetrators were known sympathizers of the organization.  There is a source claiming that one of the perpetrators of the attack, Jeff Desmond, was actually working for the Federal Bureau of Investigation (See: Dave Dellinger, ""More Power Than We Know: The People's Movement Toward Democracy"").",Hewitt Project,-9,-9,0,-9,None,0
197003050001,1970-03-05,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Government (General),Government Building/Facility/Office,University District Post Office,United States,Left-Wing Militants,0.0,Explosives,Dynamite/TNT,Two sticks of dynamite,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,None,0
197003120001,1970-03-12,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,general telephone and electronics,United States,Revolutionary Force 9,0.0,Explosives,Unknown Explosive Type,Explosive,0,0,0,3.0,None,PGIS,0,0,0,0,"197003120001, 197003120002, 197003120005",3
197003120002,1970-03-12,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Multinational Corporation,IBM,United States,Revolutionary Force 9,0.0,Explosives,Unknown Explosive Type,Explosive,0,0,0,3.0,None,PGIS,0,0,0,0,"197003120001, 197003120002, 197003120005",3
197003120003,1970-03-12,0,Chicago,41.842602,-87.681229,1.0,0,1,1,1,1,0,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Chicago Police Car,United States,Black Nationalists,1.0,Explosives,Unknown Explosive Type,None,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,"197003120003, 197003120004",2
197003120004,1970-03-12,0,Chicago,41.842602,-87.681229,1.0,0,1,1,1,1,0,Bombing/Explosion,Police,Police Patrol (including vehicles and convoys),Chicago Police Car,United States,Black Nationalists,1.0,Explosives,"Projectile (rockets, mortars, RPGs, etc.)",Cherry bomb,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,"197003120003, 197003120004",2
197003120005,1970-03-12,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Gas/Oil/Electric,Mobil Oil Company Building,United States,Revolutionary Force 9,0.0,Explosives,Unknown Explosive Type,None,0,0,0,2.0,Part of a multiple attack with 197003120001 and 197003120002.  The bomb was placed in the hallway on the 34th floor.  The Revolutionary Force 9 called the police to ward authorities of the bomb before it detonated.  The RF9 also later sent a letter to United Press International after the explosion listing their grievances.  The group also called in bomb threats to many other buildings in New York City leading to numerous evacuations.,Hewitt Project,0,0,0,0,"197003120001, 197003120002, 197003120005",3
197003140003,1970-03-14,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,Military,Military Barracks/Base/Headquarters/Checkpost,Army Reserve Building,United States,Left-Wing Militants,0.0,Explosives,Unknown Explosive Type,Explosive device,0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,None,0
197003170002,1970-03-17,0,Los Angeles,34.097866,-118.407379,1.0,0,1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,"Administration offices, Roosevelt High School",United States,Chicano Liberation Front,1.0,Explosives,Unknown Explosive Type,Two bombs,0,0,0,3.0,"There were three other incidents also protesting the quality of education at Roosevelt High School (197004080003, 197004150004, and 197004150005).  Moreover, the school was the target of many demonstrations during this time period.  The Chicano Liberation Front claimed credit for the incident in a tape recording sent to the Los Angeles Free Press.  The CLF stated that they were ""fed up with our people being treated like dogs."" However, authorities could not confirm if the CLF actually committed the attack.",Hewitt Project,0,0,0,0,None,0
197003210001,1970-03-21,0,Washington,38.908642,-77.015381,1.0,0,1,1,1,0,0,Bombing/Explosion,Government (General),Head of State,President Richard Nixon,United States,Left-Wing Militants,0.0,Explosives,Letter Bomb,The explosives within the letter bomb were strong enough to blow off a persons fingers.  The detonator contained a mousetrap which experts believed would not have been powerful enough to trigger the explosive.,0,0,0,0.0,"This was part of multiple attacks with incident 197003310003.  Both bombs were sent from Seattle and the letter bomb addressed to President Nixon stated that the Selective Service Offices were ""next.""",Hewitt Project,-9,-9,0,-9,None,0
197003210002,1970-03-21,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Bloomingdale's Department Store,United States,Puerto Rican Resistance Movement,0.0,Incendiary,Gasoline or Alcohol,"Cigarette box containing flammable material, batteries, and a watch mechanism",0,0,0,3.0,Part of a multiple attack with 197003210003.  Four Ecuadorians were originally detained for the bombings but they were eventually released.  The Puerto Rican Resistance claimed credit for the incident in a letter to the New York Daily News.,Hewitt Project,1,0,0,1,"197003210002, 197003210003",2
197003210003,1970-03-21,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Business,Retail/Grocery/Bakery,Alexander's Department Store,United States,Puerto Rican Resistance Movement,0.0,Incendiary,Gasoline or Alcohol,"Cigarette box containing flammable material, batteries, and a watch mechanism",0,0,1,3.0,Part of a multiple attack with 197003210002.  Four Ecuadorians were originally detained for the bombings but they were eventually released.  The Puerto Rican Resistance claimed credit for the incident in a letter to the New York Daily News.,Hewitt Project,1,0,0,1,"197003210002, 197003210003",2
197003220001,1970-03-22,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Bank/Commerce,"Nagler, Weissman & Company",United States,Black Panthers,0.0,Explosives,Time Fuse,Pipe bomb with timer,0,0,0,3.0,"Part of a multiple attack with 197003220002 and 197003220003.  Police believed that 197003220001 and 197003220002 were carried out by Godwin Bernard, a member of the Black Panther Party.  He was injured when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Ishmael Brown, who died in the apartment blast, to be the perpetrator of 197003220003.",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003",3
197003220002,1970-03-22,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,Business,Bank/Commerce,"Chase-Manhattan Bank, Bronx branch",United States,Black Panthers,0.0,Explosives,Time Fuse,Pipe bomb with timer,0,0,0,0.0,"Part of a multiple attack with 197003220001 and 197003220003.  Police believed that 197003220001 and 197003220002 were carried out by Godwin Bernard, a member of the Black Panther Party.  He was injured when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Ishmael Brown, who died in the apartment blast, to be the perpetrator of 197003220003.  There was a pipe bomb placed in the same bank two weeks later (197004020002).",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003",3
197003220003,1970-03-22,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Entertainment/Cultural/Stadium/Casino,Electric  Circus,United States,Black Panthers,1.0,Explosives,Dynamite/TNT,Pipe bomb made of dynamite and small caliber ammunition with a clock detonator,0,0,17,3.0,"Part of a multiple attack with 197003220001 and 197003220002.  Originally the police believed that the attack was part of a dispute between Hells Angels, but eventually police accused Ishmael Brown, a member of the Black Panther Party, of being the perpetrator.   The Black Panther Party denied any involvement in the incident.  Brown was killed when a bomb accidentally blew up in his apartment in what the police determined was a bomb factory.  Police accused his roommate Godwin Bernard, who was injured in the apartment blast, of being the perpetrator in 197003220001 and 197003220002",Hewitt Project,0,0,0,0,"197003220001, 197003220002, 197003220003",3
197003240004,1970-03-24,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Restaurant/Bar/Café,Joe's Restaurant,United States,Unknown,0.0,Explosives,Unknown Explosive Type,Brick tossed through a window then bomb tossed in afterwards,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,None,0
197003310003,1970-03-31,0,Washington,38.908642,-77.015381,1.0,0,1,1,1,0,0,Bombing/Explosion,Government (General),"Government Personnel (excluding police, military)",Curtis W. Tarr,United States,Left-Wing Militants,0.0,Explosives,Letter Bomb,The explosives within the letter bomb were strong enough to blow off a persons fingers.  The detonator contained a mousetrap which experts believed would not have been powerful enough to trigger the explosive.,0,0,0,0.0,"This was part of multiple attacks with incident 197003210001.  Both bombs were sent from Seattle and the letter bomb addressed to President Nixon stated that the Selective Service Offices were ""next.""",Hewitt Project,-9,-9,0,-9,None,0
197003310004,1970-03-31,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Educational Institution,School/University/Educational Building,Jeeps owned by the University of Washington,United States,Student Radicals,0.0,Explosives,Unknown Explosive Type,None,0,0,0,3.0,None,Hewitt Project,-9,-9,0,-9,None,0
197004010003,1970-04-01,0,Houston,29.813822,-95.365295,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Military,Military Recruiting Station/Academy,Naval R.O.T.C. at Rice University,United States,Student Radicals,0.0,Incendiary,Gasoline or Alcohol,Kerosene poured along the side of the building and set on fire,0,0,0,3.0,Classes continued in the Naval R.O.T.C. building even while it was being repaired.  Less than a week later the office of the dean of students at Rice University was destroyed by a firebomb (197004050007).,Hewitt Project,-9,-9,0,-9,None,0
197004020002,1970-04-02,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,Business,Bank/Commerce,"Chase-Manhattan Bank, Bronx branch",United States,Left-Wing Militants,0.0,Explosives,Pipe Bomb,Twelve inch pipe bomb capped at both ends,0,0,0,0.0,"Same types of bombs used in 197004040001 and 197004040002.  Also, there was a previous bombing against the same bank two weeks earlier (197003220002).",Hewitt Project,-9,-9,0,-9,None,0
197004040001,1970-04-04,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,Business,Bank/Commerce,"Banco de Ponce, Bronx Branch",Puerto Rico,Left-Wing Militants,0.0,Explosives,Pipe Bomb,Fifteen inch pipe bomb capped at both ends,0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,"197004040001, 197004040002",2
197004040002,1970-04-04,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,Private Citizens & Property,"Public Area (garden, parking lot, garage, beach, public building, camp)",135th Street and Brook Avenues,United States,Left-Wing Militants,0.0,Explosives,Pipe Bomb,Fifteen inch pipe bomb capped at both ends,0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,"197004040001, 197004040002",2
197004050006,1970-04-05,0,New York City,40.697132,-73.931351,1.0,0,1,1,1,0,0,Bombing/Explosion,NGO,International NGO,West Side Branch of Young Women's Christian Association in Manhattan New York,United States,Unknown,0.0,Explosives,Other Explosive Type,Six inch tube filled with powder and a detonating device,0,0,0,0.0,The bomb was discovered taped underneath a table in the auditorium.,Hewitt Project,-9,-9,0,-9,None,0
197004050007,1970-04-05,0,Houston,29.813822,-95.365295,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,"Office of dean of students, Rice University",United States,Student Radicals,0.0,Incendiary,Arson/Fire,None,0,0,0,3.0,Less than a week before this incident the Naval R.O.T.C. at Rice University was firebombed (197004010003).,Hewitt Project,-9,-9,0,-9,None,0
197004080003,1970-04-08,0,Los Angeles,34.097866,-118.407379,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,"Administration building, Roosevelt High School",United States,Chicano Liberation Front,1.0,Incendiary,Arson/Fire,Arson,0,0,0,3.0,"There were three other incidents also protesting the quality of education at Roosevelt High School (197003170002, 197004150005, and 197004150005).  Moreover, the school was the target of many demonstrations during this time period.  The fire was discovered at 5:00 AM.  A pile of books and magazines soaked in oil in the library were also discovered untouched by the fire.   The Chicano Liberation Front claimed credit for the incident in a tape recording sent to the Los Angeles Free Press.  The CLF stated that they were ""fed up with our people being treated like dogs."" However, authorities could not confirm if the CLF actually committed the attack.",Hewitt Project,0,0,0,0,None,0
197004140004,1970-04-14,0,Los Angeles,34.097866,-118.407379,1.0,0,1,1,1,0,0,Bombing/Explosion,Business,Retail/Grocery/Bakery,"May Company Department Store, Los Angeles",United States,Unknown,0.0,Explosives,Dynamite/TNT,"Stick of dynamite, cigarette explosive device, cloth rag, kerosene, and matches",0,0,0,0.0,None,Hewitt Project,-9,-9,0,-9,None,0
197004150002,1970-04-15,0,Los Angeles,34.097866,-118.407379,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Private Citizens & Property,Political Party Member/Rally,Building owned by pro-Castro sympathizers,United States,Cuban Exiles,0.0,Incendiary,Molotov Cocktail/Petrol Bomb,Chemical-type firebomb,0,0,0,3.0,None,Hewitt Project,1,1,0,1,None,0
197004150004,1970-04-15,0,Los Angeles,34.097866,-118.407379,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,"Board of Education administration building, Los Angeles",United States,Chicano Liberation Front,1.0,Incendiary,Arson/Fire,Arson,0,0,0,3.0,"This is part of a multiple incident with 197004150005.  There were two other incidents also protesting the quality of education at Roosevelt High School (197003170002 and 197004080003).  Moreover, the school was the target of many demonstrations during this time period.  The fire started in the west wing of the building and spread to the east wing.  The office of Richard Cooper, the superintendent for East Los Angeles junior and senior high schools, was destroyed.  The Chicano Liberation Front claimed credit for the incident in a tape recording sent to the Los Angeles Free Press.  The CLF stated that they were ""fed up with our people being treated like dogs."" However, authorities could not confirm if the CLF actually committed the attack.",Hewitt Project,0,0,0,0,"197004150004, 197004150005",2
197004150005,1970-04-15,0,Los Angeles,34.097866,-118.407379,1.0,0,1,1,1,1,0,Facility/Infrastructure Attack,Educational Institution,School/University/Educational Building,"Storage structure, Roosevelt High School",United States,Chicano Liberation Front,1.0,Incendiary,Arson/Fire,Arson,0,0,0,3.0,"This is part of a multiple incident with 197004150004.  There were two other incidents also protesting the quality of education at Roosevelt High School (197003170002 and 197004080003).  Moreover, the school was the target of many demonstrations during this time period.  Shortly before the fire ignited, people were witnessed running  from the school.  The Chicano Liberation Front claimed credit for the incident in a tape recording sent to the Los Angeles Free Press.  The CLF stated that they were ""fed up with our people being treated like dogs."" However, authorities could not confirm if the CLF actually committed the attack.",Hewitt Project,0,0,0,0,"197004150004, 197004150005",2
197004190001,1970-04-19,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Religious Figures/Institutions,Place of Worship,Japanese Presbyterian Church,United States,White supremacists/nationalists,0.0,Explosives,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.,0,0,0,3.0,"This was part of a multiple attack 197004190002, 197004190003, and 197004190004.  Although leftists, rightists, Blacks, and Whites have been accused of being perpetrators of the bombings, the general consensus is that the attack was carried out by White Racists.  This attack had a great psychological affect on the city of Seattle.  The mayor enforced the notion that the citizens of the Emerald City were ""frightened"" and needed answers.",Hewitt Project,-9,-9,0,-9,"197004190001, 197004190002, 197004190003, 197004190004",4
197004190002,1970-04-19,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,0,Hardcastle Realty,United States,White supremacists/nationalists,0.0,Explosives,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.,0,0,0,3.0,"This was part of a multiple attack 197004190001, 197004190003, and 197004190004.  Although leftists, rightists, Blacks, and Whites have been accused of being perpetrators of the bombings, the general consensus is that the attack was carried out by White Racists.  This attack had a great psychological affect on the city of Seattle.  The mayor enforced the notion that the citizens of the Emerald City were ""frightened"" and needed answers.  There was an attempted bombing against the same realty office a month later (197005150004).",Hewitt Project,-9,-9,0,-9,"197004190001, 197004190002, 197004190003, 197004190004",4
197004190003,1970-04-19,0,Seattle,47.610786,-122.331306,1.0,0,1,1,1,1,0,Bombing/Explosion,Business,Restaurant/Bar/Café,Drive-in Hamburger Restaurant,United States,White supremacists/nationalists,0.0,Explosives,Unknown Explosive Type,All four bombs went off in a span of 90 minutes.,0,0,0,3.0,"This was part of a multiple attack with 197004190001, 197004190002, and 197004190004.  Although leftists, rightists, Blacks, and Whites have been accused of being perpetrators of the bombings, the general consensus is that the attack was carried out by White Racists.  This attack had a great psychological affect on the city of Seattle.  The mayor enforced the notion that the citizens of the Emerald City were ""frightened"" and needed answers.",Hewitt Project,-9,-9,0,-9,"197004190001, 197004190002, 197004190003, 197004190004",4
